0.85	17.45
0.75	15.60
3.30	15.45
5.25	14.20
4.90	15.65
5.35	15.85
5.10	17.90
4.60	18.25
4.05	18.75
3.40	19.70
2.90	21.15
3.10	21.85
3.90	21.85
4.40	20.05
7.20	14.50
7.65	16.50
7.10	18.65
7.05	19.90
5.85	20.55
5.50	21.80
6.55	21.80
6.05	22.30
5.20	23.40
4.55	23.90
5.10	24.40
8.10	26.35
10.15	27.70
9.75	25.50
9.20	21.10
11.20	22.80
12.60	23.10
13.25	23.50
11.65	26.85
12.45	27.55
13.30	27.85
13.70	27.75
14.15	26.90
14.05	26.55
15.15	24.20
15.20	24.75
12.20	20.90
12.15	21.45
12.75	22.05
13.15	21.85
13.75	22.00
13.95	22.70
14.40	22.65
14.20	22.15
14.10	21.75
14.05	21.40
17.20	24.80
17.70	24.85
17.55	25.20
17.00	26.85
16.55	27.10
19.15	25.35
18.80	24.70
21.40	25.85
15.80	21.35
16.60	21.15
17.45	20.75
18.00	20.95
18.25	20.20
18.00	22.30
18.60	22.25
19.20	21.95
19.45	22.10
20.10	21.60
20.10	20.90
19.90	20.35
19.45	19.05
19.25	18.70
21.30	22.30
22.90	23.65
23.15	24.10
24.25	22.85
22.05	20.25
20.95	18.25
21.65	17.25
21.55	16.70
21.60	16.30
21.50	15.50
22.40	16.50
22.25	18.10
23.15	19.05
23.50	19.80
23.75	20.20
25.15	19.80
25.50	19.45
23.00	18.00
23.95	17.75
25.90	17.55
27.65	15.65
23.10	14.60
23.50	15.20
24.05	14.90
24.50	14.70
14.15	17.35
14.30	16.80
14.30	15.75
14.75	15.10
15.35	15.50
15.95	16.45
16.50	17.05
17.35	17.05
17.15	16.30
16.65	16.10
16.50	15.15
16.25	14.95
16.00	14.25
15.90	13.20
15.15	12.05
15.20	11.70
17.00	15.65
16.90	15.35
17.35	15.45
17.15	15.10
17.30	14.90
17.70	15.00
17.00	14.60
16.85	14.30
16.60	14.05
17.10	14.00
17.45	14.15
17.80	14.20
17.60	13.85
17.20	13.50
17.25	13.15
17.10	12.75
16.95	12.35
16.50	12.20
16.25	12.50
16.05	11.90
16.65	10.90
16.70	11.40
16.95	11.25
17.30	11.20
18.05	11.90
18.60	12.50
18.90	12.05
18.70	11.25
17.95	10.90
18.40	10.05
17.45	10.40
17.60	10.15
17.70	9.85
17.30	9.70
16.95	9.70
16.75	9.65
19.80	9.95
19.10	9.55
17.50	8.30
17.55	8.10
17.85	7.55
18.20	8.35
19.30	9.10
19.40	8.85
19.05	8.85
18.90	8.50
18.60	7.85
18.70	7.65
19.35	8.20
19.95	8.30
20.00	8.90
20.30	8.90
